,DATE,OPEN,HIGH,LOW CLOSE,LAST,VOLUME
0,12/07/2018,1060.01,1075.26,1028.5,1036.58,"2,098,526"
1,12/06/2018,1034.26,1071.2,1030.7701,1068.73,"2,758,098"
2,12/04/2018,1103.12,1104.42,1049.98,1050.82,"2,278,200"
3,12/03/2018,1123.14,1124.65,1103.6645,1106.43,"1,900,355"
4,11/30/2018,1089.07,1095.57,1077.88,1094.43,"2,554,416"
5,11/29/2018,1076.08,1094.245,1076,1088.3,"1,403,540"
6,11/28/2018,1048.76,1086.84,1035.76,1086.23,"2,399,374"
7,11/27/2018,1041,1057.58,1038.49,1044.41,"1,801,334"
8,11/26/2018,1038.35,1049.31,1033.91,1048.62,"1,846,430"
9,11/23/2018,1030,1037.59,1022.3992,1023.88,"691,462"
10,11/21/2018,1036.76,1048.56,1033.47,1037.61,"1,531,676"
11,11/20/2018,1000,1031.74,996.02,1025.76,"2,447,254"
12,11/19/2018,1057.2,1060.79,1016.2601,1020,"1,837,207"
13,11/16/2018,1059.41,1067,1048.98,1061.49,"1,641,232"
14,11/15/2018,1044.71,1071.85,1031.78,1064.71,"1,819,132"
15,11/14/2018,1050,1054.5643,1031,1043.66,"1,561,656"
16,11/13/2018,1043.29,1056.605,1031.15,1036.05,"1,496,534"
17,11/12/2018,1061.39,1062.12,1031,1038.63,"1,429,319"
18,11/09/2018,1073.99,1075.56,1053.11,1066.15,"1,343,154"
19,11/08/2018,1091.38,1093.27,1072.2048,1082.4,"1,463,022"
20,11/07/2018,1069,1095.46,1065.9,1093.39,"2,057,155"
21,11/06/2018,1039.48,1064.345,1038.07,1055.81,"1,225,197"
22,11/05/2018,1055,1058.47,1021.24,1040.09,"2,436,742"
23,11/02/2018,1073.73,1082.975,1054.61,1057.79,"1,829,295"
24,11/01/2018,1075.8,1083.975,1062.46,1070,"1,456,222"
25,10/31/2018,1059.81,1091.94,1057,1076.77,"2,528,584"
26,10/30/2018,1008.46,1037.49,1000.75,1036.21,"3,209,126"
27,10/29/2018,1082.47,1097.04,995.83,1020.08,"3,873,644"
28,10/26/2018,1037.03,1106.53,1034.09,1071.47,"4,185,201"
29,10/25/2018,1071.79,1110.98,1069.55,1095.57,"2,511,884"
30,10/24/2018,1104.25,1106.12,1048.74,1050.71,"1,910,060"
31,10/23/2018,1080.89,1107.89,1070,1103.69,"1,847,798"
32,10/22/2018,1103.06,1112.23,1091,1101.16,"1,494,285"
33,10/19/2018,1093.37,1110.36,1087.75,1096.46,"1,264,605"
34,10/18/2018,1121.84,1121.84,1077.09,1087.97,"2,056,606"
35,10/17/2018,1126.46,1128.99,1102.19,1115.69,"1,397,613"
36,10/16/2018,1104.59,1124.22,1102.5,1121.28,"1,845,491"
37,10/15/2018,1108.91,1113.4464,1089,1092.25,"1,343,231"
38,10/12/2018,1108,1115,1086.402,1110.08,"2,029,872"
39,10/11/2018,1072.94,1106.4,1068.27,1079.32,"2,939,514"
40,10/10/2018,1131.08,1132.17,1081.13,1081.22,"2,574,985"
41,10/09/2018,1146.15,1154.35,1137.572,1138.82,"1,308,706"
42,10/08/2018,1150.11,1168,1127.3636,1148.97,"1,877,142"
43,10/05/2018,1167.5,1173.4999,1145.12,1157.35,"1,184,245"
44,10/04/2018,1195.33,1197.51,1155.576,1168.19,"2,151,762"
45,10/03/2018,1205,1206.41,1193.83,1202.95,"1,207,280"
46,10/02/2018,1190.96,1209.96,1186.63,1200.11,"1,655,602"
47,10/01/2018,1199.89,1209.9,1190.3,1195.31,"1,345,250"
48,09/28/2018,1191.87,1195.41,1184.5,1193.47,"1,306,822"
49,09/27/2018,1186.73,1202.1,1183.63,1194.64,"1,244,278"
50,09/26/2018,1185.15,1194.23,1174.765,1180.49,"1,346,434"
51,09/25/2018,1176.15,1186.88,1168,1184.65,"937,577"
52,09/24/2018,1157.17,1178,1146.91,1173.37,"1,218,532"
53,09/21/2018,1192,1192.21,1166.04,1166.09,"4,363,929"
54,09/20/2018,1179.99,1189.89,1173.36,1186.87,"1,209,855"
55,09/19/2018,1164.98,1173.21,1154.58,1171.09,"1,185,321"
56,09/18/2018,1157.09,1176.08,1157.09,1161.22,"1,184,407"
57,09/17/2018,1170.14,1177.24,1154.03,1156.05,"1,279,147"
58,09/14/2018,1179.1,1180.425,1168.3295,1172.53,"934,300"
59,09/13/2018,1170.74,1178.61,1162.85,1175.33,"1,402,005"
60,09/12/2018,1172.72,1178.61,1158.36,1162.82,"1,291,304"
61,09/11/2018,1161.63,1178.68,1156.24,1177.36,"1,209,171"
62,09/10/2018,1172.19,1174.54,1160.11,1164.64,"1,115,259"
